budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,989,1.996324515948503,0.2248305477542016,1415,False,False
429,990,0.5061047004182783,0.056998647317595165,3672,False,False
429,992,3.378887254647231,0.38053786656078115,351,True,False
429,993,0.5112368593678799,0.05757664257767558,3664,False,False
429,994,0.3305797296678149,0.03723063114432443,3851,False,False
429,997,4.881565122549313,0.5497728208177152,65,True,False
429,998,1.8531614341379685,0.20870720014989239,1581,False,False
429,999,2.9166584463678373,0.32848062069569617,562,True,False
429,1000,3.6171880528343068,0.40737583732086463,264,True,False
429,1001,0.7494875843442278,0.08440897398037711,3374,False,False
429,1002,1.1255249665869316,0.12675914798778987,2757,False,False
429,1004,0.6731572313150832,0.07581247829808051,3496,False,False
429,1005,2.4701184945990144,0.2781902890646093,883,True,True
429,1006,2.349866782291892,0.26464727131854643,995,True,False
429,1008,4.901971221301863,0.5520710014608969,60,True,False
429,1009,1.4979034374551465,0.16869724718374868,2117,False,False
429,1010,2.0903984244102825,0.23542536247488907,1299,False,False
429,1011,2.163020308369242,0.24360420204680974,1212,False,False
429,1012,1.7470584581795356,0.19675764484838312,1724,False,False
429,1013,2.625127002279524,0.29564769511755856,768,True,False
429,1014,2.6659356244994252,0.3002436537472783,740,True,False
429,1015,4.330598205395306,0.48772168995769893,122,True,False
429,1016,6.63080648471146,0.7467763092121673,5,True,False
429,1017,1.8409822089978427,0.20733554847823257,1597,False,False
429,1018,3.1316324226047607,0.35269147241049476,447,True,False
429,1019,4.009930085046148,0.4516073265015366,173,True,False
429,1020,2.5175348723323743,0.28353042795142064,845,True,False
429,1021,1.1738846566803967,0.13220552482986922,2673,False,False
429,1023,1.68768610072793,0.19007099669040045,1809,False,False
429,1024,2.9587081551945467,0.3332163532847046,539,True,False
429,1025,2.407998948574609,0.2711942463634688,936,True,False
429,1026,5.825569045376601,0.6560886614317014,12,True,False
429,1027,5.806872457983215,0.6539830097948021,13,True,False
